student_id,date_registered,first_date_watched,first_date_purchased,date_diff_reg_watch,date_diff_watch_purch
270017,2022-04-08,2022-04-08,,0,
274284,2022-05-18,2022-05-18,,0,
269559,2022-04-04,2022-04-04,2023-05-16,0,407
283661,2022-08-03,2022-08-03,,0,
260499,2022-01-15,2022-02-03,,19,
274685,2022-05-22,2022-05-22,,0,
268681,2022-03-27,2022-03-27,,0,
289094,2022-09-01,2022-09-01,,0,
271520,2022-04-21,2022-04-21,,0,
284388,2022-08-08,2022-08-08,,0,
264645,2022-02-22,2022-02-22,,0,
259766,2022-01-09,2022-01-09,,0,
268536,2022-03-25,2022-04-09,,15,
266283,2022-03-07,2022-03-07,,0,
285679,2022-08-15,2022-08-16,,1,
280651,2022-07-07,2022-07-11,,4,
296911,2022-10-30,2022-10-30,2022-10-30,0,0
277491,2022-06-12,2022-06-12,,0,
289235,2022-09-02,2022-09-03,,1,
256838,2021-12-13,2021-12-13,2022-01-21,0,39
292620,2022-09-30,2022-09-30,2023-01-17,0,109
262000,2022-01-30,2022-01-30,,0,
263922,2022-02-17,2022-02-17,,0,
286418,2022-08-16,2022-08-17,2022-08-23,1,6
288517,2022-08-29,2022-08-29,,0,
262241,2022-02-01,2022-02-01,,0,
296368,2022-10-26,2022-10-26,,0,
286279,2022-08-16,2022-08-23,,7,
292131,2022-09-26,2022-09-26,,0,
270951,2022-04-16,2022-04-16,,0,
284792,2022-08-11,2022-08-11,,0,
295785,2022-10-23,2022-10-23,,0,
270271,2022-04-10,2022-04-10,,0,
277145,2022-06-09,2022-06-09,,0,
283240,2022-07-31,2022-07-31,,0,
268000,2022-03-19,2022-03-19,,0,
267675,2022-03-17,2022-03-17,,0,
281703,2022-07-16,2022-07-16,,0,
285007,2022-08-11,2022-08-23,,12,
277156,2022-06-09,2022-06-09,,0,
280321,2022-07-04,2022-07-04,,0,
258368,2021-12-28,2021-12-29,,1,
271998,2022-04-26,2022-04-26,,0,
262707,2022-02-05,2022-02-05,,0,
263599,2022-02-14,2022-02-14,,0,
287279,2022-08-19,2022-08-19,,0,
264406,2022-02-21,2022-02-21,,0,
263690,2022-02-14,2022-02-14,2022-02-15,0,1
274068,2022-05-15,2022-05-15,,0,
269374,2022-04-02,2022-04-02,,0,
294225,2022-10-11,2022-10-11,,0,
296129,2022-10-25,2022-10-25,,0,
278803,2022-06-21,2022-08-16,,56,
267940,2022-03-19,2022-03-19,,0,
276504,2022-06-04,2022-06-04,2023-06-06,0,367
275725,2022-06-01,2022-06-01,,0,
272134,2022-04-27,2022-04-27,,0,
256877,2021-12-13,2021-12-13,,0,
259739,2022-01-08,2022-01-08,,0,
281096,2022-07-11,2022-07-11,,0,
296538,2022-10-27,2022-10-27,,0,
263736,2022-02-15,2022-02-15,,0,
296259,2022-10-26,2022-10-26,,0,
281794,2022-07-16,2022-07-16,,0,
258829,2022-01-01,2022-01-02,,1,
261449,2022-01-24,2022-04-06,2022-12-16,72,254
271851,2022-04-25,2022-04-25,2022-04-25,0,0
267478,2022-03-15,2022-03-21,,6,
294753,2022-10-14,2022-10-14,,0,
285982,2022-08-15,2022-08-15,,0,
285083,2022-08-12,2022-08-12,,0,
292626,2022-09-30,2022-09-30,,0,
264270,2022-02-19,2022-02-19,,0,
293506,2022-10-06,2022-10-06,,0,
291971,2022-09-24,2022-09-24,,0,
284919,2022-08-11,2022-08-11,,0,
294167,2022-10-10,2022-10-10,,0,
291515,2022-09-21,2022-09-28,,7,
283577,2022-08-02,2022-08-02,,0,
258677,2021-12-30,2021-12-30,,0,
259513,2022-01-06,2022-01-06,,0,
296539,2022-10-27,2022-10-27,,0,
279185,2022-06-25,2022-06-25,,0,
263229,2022-02-09,2022-02-09,,0,
276759,2022-06-06,2022-06-06,,0,
272975,2022-05-06,2022-05-06,,0,
273484,2022-05-10,2022-05-10,,0,
256422,2021-12-09,2021-12-09,2021-12-12,0,3
296511,2022-10-27,2022-10-27,,0,
260752,2022-01-17,2022-01-17,,0,
272679,2022-05-03,2022-05-03,,0,
275434,2022-05-30,2022-05-30,,0,
263696,2022-02-15,2022-02-15,,0,
295114,2022-10-18,2022-10-18,,0,
257255,2021-12-17,2021-12-17,,0,
258316,2021-12-27,2021-12-27,,0,
284396,2022-08-08,2022-08-09,,1,
269144,2022-03-31,2022-04-02,,2,
273996,2022-05-15,2022-05-15,,0,
279727,2022-06-29,2022-06-29,,0,
266487,2022-03-09,2022-03-09,,0,
263788,2022-02-15,2022-02-15,,0,
266502,2022-03-09,2022-03-15,,6,
263224,2022-02-09,2022-02-09,,0,
263786,2022-02-15,2022-02-15,2022-02-20,0,5
261997,2022-01-30,2022-01-30,,0,
290497,2022-09-13,2022-09-13,,0,
286396,2022-08-16,2022-08-16,,0,
284924,2022-08-11,2022-08-11,,0,
261574,2022-01-25,2022-01-25,,0,
